Summary,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
19,9.472,0.89,14.0,251.0,16.0,1015.0
19,9.356,0.86,14.0,259.0,16.0,1016.0
17,9.378,0.89,4.0,204.0,15.0,1016.0
19,8.289,0.83,14.0,269.0,16.0,1016.0
17,8.756,0.83,11.0,259.0,16.0,1017.0
19,9.222,0.85,14.0,258.0,15.0,1017.0
19,7.733,0.95,12.0,259.0,10.0,1017.0
19,8.772,0.89,14.0,260.0,10.0,1017.0
19,10.822,0.82,11.0,259.0,10.0,1017.0
19,13.772,0.72,13.0,279.0,10.0,1017.0
19,16.017,0.67,18.0,290.0,11.0,1017.0
19,17.144,0.54,20.0,316.0,11.0,1018.0
19,17.8,0.55,22.0,281.0,11.0,1018.0
19,17.333,0.51,21.0,289.0,11.0,1017.0
19,18.878,0.47,15.0,262.0,11.0,1017.0
19,18.911,0.46,10.0,288.0,11.0,1016.0
19,15.389,0.6,14.0,251.0,11.0,1016.0
17,15.55,0.63,11.0,230.0,11.0,1016.0
17,14.256,0.69,9.0,163.0,11.0,1016.0
17,13.144,0.7,8.0,139.0,11.0,1016.0
17,11.55,0.77,7.0,147.0,11.0,1016.0
17,11.183,0.76,5.0,160.0,10.0,1016.0
19,10.117,0.79,7.0,163.0,16.0,1015.0
17,10.2,0.77,4.0,152.0,15.0,1016.0
19,10.422,0.62,17.0,150.0,16.0,1014.0
19,9.911,0.66,17.0,149.0,16.0,1014.0
17,11.183,0.8,11.0,163.0,15.0,1009.0
19,7.156,0.79,11.0,180.0,16.0,1014.0
19,6.111,0.82,7.0,161.0,16.0,1014.0
19,6.789,0.83,13.0,135.0,15.0,1014.0
17,7.261,0.85,11.0,141.0,6.0,1015.0
17,7.8,0.83,13.0,150.0,8.0,1014.0
17,9.872,0.78,14.0,160.0,10.0,1014.0
17,12.222,0.72,16.0,150.0,10.0,1014.0
17,15.094,0.61,18.0,151.0,10.0,1014.0
17,17.356,0.52,23.0,169.0,10.0,1014.0
17,19.006,0.46,24.0,169.0,10.0,1013.0
17,20.044,0.4,28.0,170.0,10.0,1012.0
17,21.05,0.4,27.0,187.0,10.0,1011.0
17,21.183,0.37,26.0,179.0,10.0,1011.0
17,20.117,0.4,25.0,162.0,10.0,1010.0
17,20.217,0.36,18.0,161.0,10.0,1009.0
17,20.0,0.43,23.0,160.0,10.0,1009.0
17,17.8,0.5,20.0,150.0,11.0,1008.0
17,16.061,0.53,21.0,149.0,10.0,1008.0
17,15.022,0.55,21.0,159.0,10.0,1008.0
18,14.422,0.58,20.0,159.0,16.0,1008.0
18,14.256,0.59,17.0,168.0,15.0,1008.0
18,13.772,0.6,17.0,160.0,16.0,1007.0
18,13.283,0.63,14.0,160.0,16.0,1007.0
18,8.633,0.87,22.0,32.0,7.0,1005.0
18,11.25,0.83,11.0,152.0,16.0,1007.0
18,11.183,0.89,11.0,180.0,10.0,1007.0
18,10.694,0.95,10.0,161.0,7.0,1007.0
17,11.111,0.93,12.0,140.0,6.0,1006.0
17,11.111,0.93,9.0,103.0,11.0,1006.0
19,12.167,0.82,10.0,113.0,11.0,1006.0
19,12.756,0.79,14.0,129.0,11.0,1006.0
19,13.839,0.84,9.0,159.0,11.0,1006.0
19,16.183,0.73,1.0,207.0,11.0,1006.0
17,17.517,0.67,1.0,153.0,11.0,1006.0
17,17.383,0.67,4.0,4.0,11.0,1005.0
17,17.361,0.71,8.0,341.0,11.0,1005.0
17,17.206,0.74,16.0,15.0,11.0,1005.0
17,15.633,0.81,24.0,348.0,11.0,1004.0
18,13.578,0.9,21.0,321.0,8.0,1004.0
12,10.911,0.86,22.0,311.0,3.0,1005.0
12,8.8,0.99,27.0,339.0,3.0,1005.0
18,8.961,0.93,23.0,340.0,4.0,1005.0
18,8.2,0.96,25.0,330.0,4.0,1005.0
18,7.689,0.96,28.0,339.0,4.0,1005.0
18,7.767,0.96,19.0,339.0,6.0,1005.0
12,8.2,0.96,20.0,341.0,3.0,1005.0
12,8.178,0.93,28.0,19.0,3.0,1005.0
17,7.311,0.82,7.0,277.0,14.0,1007.0
18,7.644,0.93,15.0,9.0,6.0,1004.0
18,6.622,0.93,25.0,0.0,6.0,1004.0
18,6.683,0.93,20.0,350.0,6.0,1004.0
18,6.089,0.93,28.0,349.0,8.0,1004.0
18,6.067,0.93,28.0,348.0,6.0,1004.0
3,6.144,0.93,31.0,349.0,11.0,1004.0
3,7.133,0.8,32.0,349.0,11.0,1004.0
18,7.206,0.86,27.0,339.0,11.0,1004.0
17,7.567,0.84,28.0,339.0,11.0,1004.0
17,8.9,0.77,30.0,348.0,11.0,1004.0
17,9.961,0.71,28.0,339.0,11.0,1005.0
17,9.889,0.71,29.0,338.0,11.0,1004.0
17,11.067,0.71,26.0,320.0,11.0,1004.0
18,10.117,0.76,25.0,311.0,11.0,1004.0
18,11.039,0.66,21.0,311.0,10.0,1004.0
18,10.65,0.7,18.0,310.0,15.0,1004.0
18,10.05,0.7,15.0,328.0,10.0,1004.0
17,9.9,0.66,16.0,348.0,11.0,1005.0
18,8.794,0.71,12.0,20.0,10.0,1006.0
17,7.828,0.72,14.0,28.0,16.0,1006.0
18,7.856,0.72,10.0,11.0,15.0,1007.0
17,7.317,0.75,7.0,326.0,16.0,1007.0
18,7.244,0.75,7.0,309.0,16.0,1007.0
19,5.439,0.88,4.0,193.0,10.0,1012.0
18,7.2,0.76,14.0,273.0,16.0,1007.0
18,6.689,0.7,21.0,300.0,16.0,1007.0
18,6.211,0.73,19.0,309.0,15.0,1007.0
18,6.111,0.76,17.0,300.0,10.0,1008.0
18,6.111,0.76,20.0,300.0,10.0,1008.0
18,6.172,0.76,17.0,307.0,10.0,1009.0
18,7.222,0.71,21.0,319.0,10.0,1009.0
18,7.289,0.73,18.0,328.0,10.0,1009.0
18,7.406,0.72,14.0,318.0,10.0,1010.0
18,7.961,0.7,11.0,321.0,10.0,1010.0
18,8.033,0.7,5.0,349.0,10.0,1010.0
18,9.078,0.65,2.0,348.0,10.0,1010.0
18,9.05,0.62,0.0,243.0,10.0,1010.0
18,9.05,0.65,3.0,177.0,11.0,1010.0
18,9.183,0.65,3.0,170.0,11.0,1010.0
18,9.072,0.7,10.0,172.0,10.0,1010.0
18,7.983,0.75,7.0,172.0,10.0,1010.0
18,8.072,0.75,10.0,150.0,10.0,1011.0
18,7.894,0.82,10.0,142.0,10.0,1011.0
18,7.311,0.83,14.0,141.0,12.0,1012.0
17,7.339,0.84,12.0,141.0,14.0,1012.0
17,6.622,0.85,13.0,142.0,15.0,1012.0
19,6.067,0.88,13.0,130.0,15.0,1013.0
19,8.339,0.88,1.0,359.0,15.0,1015.0
17,5.183,0.91,6.0,166.0,10.0,1013.0
17,3.722,0.94,5.0,145.0,10.0,1013.0
